Parallel Integer Sorting and Simulation Amongst CRCW Models.,152.00,59.00
Pattern Matching in Trees and Nets.,337.00,267.00
NP-complete Problems Simplified on Tree Schemas.,214.00,290.00
On the Power of Chain Rules in Context Free Grammars.,212.00,195.00
Schnelle Multiplikation von Polynomen &uuml;ber K&ouml;rpern der Charakteristik 2.,234.00,46.00
A characterization of rational D0L power series.,327.00,79.00
The Derivation of Systolic Implementations of Programs.,312.00,307.00
Fifo Nets Without Order Deadlock.,9.00,83.00
On the Complementation Rule for Multivalued Dependencies in Database Relations.,9.00,109.00
Equational weighted tree transformations.,13.00,376.00
Merged processes: a new condensed representation of Petri net behaviour.,267.00,222.00
Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,155.00,352.00
A Three-Stage Construction for Multiconnection Networks.,391.00,310.00
The Expressive Power of Delay Operators in SCCS.,292.00,392.00
Verification of asynchronous systems with an unspecified component.,128.00,155.00
Calculi for Interaction.,131.00,308.00
A Synthesis of Several Sorting Algorithms.,213.00,289.00
A Workload Model Representative of Static and Dynamic Characteristics.,499.00,421.00
Gray visiting Motzkins.,393.00,254.00
Trace- and failure-based semantics for responsiveness.,312.00,357.00
Branching Processes in the Analysis of the Heights of Trees.,475.00,312.00
Least Upper Bound on the Cost of Optimum Binary Search Trees.,151.00,471.00
The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,326.00,424.00
Invariants  Composition  and Substitution.,71.00,411.00
Maximum Entropy and the <i> G/G/1/N </i> Queue.,496.00,328.00
Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,62.00,344.00
A theory of structural stationarity in the <i>pi</i> -Calculus.,234.00,210.00
Hex ist PSPACE-vollst&auml;ndig.,48.00,364.00
Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,189.00,15.00
Disjunctivity and other properties of sets of pseudo-bordered words.,184.00,492.00
Relational structures model of concurrency.,64.00,250.00
On an Equivalence between Continuation and Stack Semantics.,42.00,257.00
Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,295.00,273.00
A Note on the Density of Inherently Ambiguous Context-free Languages.,409.00,88.00
Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,358.00,364.00
Computational Algorithms for Networks of Queues with Rejection Blocking.,234.00,215.00
Compositional Refinements in Multiple Blackboard Systems.,92.00,274.00
Special issue on "Combining Compositionality and Concurrency": part 1.,351.00,381.00
Automatic verification of concurrent systems using a formula-based compositional approach.,222.00,212.00
On Removing the Machine from the Language.,79.00,16.00
Complete Problems for Space Bounded Subclasses of NP.,262.00,314.00
